iter	RMSE
0	0.4950149388
1	0.4767773228
2	0.4606862321
3	0.4452156091
4	0.4306324786
5	0.4177293278
6	0.4038391301
7	0.3911928174
8	0.3793848367
9	0.3681232273
10	0.3590046338
11	0.3499294561
12	0.3405581121
13	0.3315671485
14	0.3234881997
15	0.3158259556
16	0.30883767
17	0.3023115489
18	0.296345034
19	0.2909391433
20	0.2853770814
21	0.2802832236
22	0.2752743099
23	0.2704277099
24	0.2657962948
25	0.2614807379
26	0.2575221665
27	0.2540265463
28	0.2499297579
29	0.246405508
30	0.2430186414
31	0.2396861606
32	0.2371830566
33	0.2343910483
34	0.2322572125
35	0.2303299659
36	0.2279481273
37	0.2255187271
38	0.2235896895
39	0.221940402
40	0.2205845167
41	0.2187648276
42	0.2174615007
43	0.2164014373
44	0.2151802731
45	0.2136699581
46	0.2125633291
47	0.2112835975
48	0.2102405562
49	0.2091544403
50	0.2082430144
51	0.2070143257
52	0.2055133631
53	0.2047597133
54	0.2040046531
55	0.2027743978
56	0.2016761166
57	0.200665446
58	0.1994418727
59	0.1987043503
60	0.1984081646
61	0.1976219384
62	0.1970457627
63	0.1960340128
64	0.1951161692
65	0.1945125879
66	0.1936980269
67	0.1927684603
68	0.1920226215
69	0.1914782435
70	0.1906732544
71	0.190273174
72	0.1899624957
73	0.1893968408
74	0.1888119593
75	0.1882280599
76	0.1878950185
77	0.1874693282
78	0.1868705104
79	0.186318391
80	0.1859188724
81	0.1853997784
82	0.1849561738
83	0.184460848
84	0.1840824289
85	0.1837632159
86	0.1832857881
87	0.1829076674
88	0.1823925463
89	0.1820054908
90	0.1815506785
91	0.181264176
92	0.1808869799
93	0.1805386903
94	0.1800683007
95	0.1796917358
96	0.1794245348
97	0.1789806079
98	0.1787995669
99	0.1782976279
100	0.1780139863
101	0.1777071705
102	0.177292534
103	0.1768761792
104	0.1763440305
105	0.1760817083
106	0.1758020004
107	0.1755485688
108	0.1752903356
109	0.1750052756
110	0.1745858942
111	0.1742794256
112	0.1737843016
113	0.1733904401
114	0.1729230732
115	0.1726679056
116	0.172466092
117	0.1722662359
118	0.1721659844
119	0.1717660241
120	0.1715940575
121	0.1713947695
122	0.1711352666
123	0.1708182412
124	0.1704707888
